timestamp,message_index,start_time,total_elapsed_time,total_timer_time,total_distance,avg_heart_rate,max_heart_rate,avg_cadence,max_cadence,avg_power,max_power,intensity,lap_trigger,sport,sub_sport,enhanced_avg_speed,enhanced_max_speed
2025-09-30T16:24:37.000Z,0,2025-09-30T16:19:37.000Z,300.000,300.000,2012.72,136,152,59,74,117,158,active,manual,cycling,virtual_activity,6.687,8.213
2025-09-30T16:25:37.000Z,1,2025-09-30T16:24:37.000Z,60.000,60.000,432.94,151,155,66,74,116,159,active,manual,cycling,virtual_activity,7.097,8.204
2025-09-30T16:30:37.000Z,2,2025-09-30T16:25:37.000Z,300.000,300.000,2374.16,155,166,67,76,141,143,active,manual,cycling,virtual_activity,7.888,8.787
2025-09-30T16:35:37.000Z,3,2025-09-30T16:30:37.000Z,300.000,300.000,2583.19,165,172,66,76,170,172,active,manual,cycling,virtual_activity,8.582,11.269
2025-09-30T16:40:37.000Z,4,2025-09-30T16:35:37.000Z,300.000,300.000,2498.96,166,174,69,79,142,171,active,manual,cycling,virtual_activity,8.302,9.449
2025-09-30T16:45:37.000Z,5,2025-09-30T16:40:37.000Z,300.000,300.000,2687.36,171,175,69,78,170,172,active,manual,cycling,virtual_activity,8.928,10.295
2025-09-30T16:50:37.000Z,6,2025-09-30T16:45:37.000Z,300.000,300.000,2544.97,167,173,69,79,142,171,active,manual,cycling,virtual_activity,8.455,9.687
2025-09-30T16:55:37.000Z,7,2025-09-30T16:50:37.000Z,300.000,300.000,2624.23,172,180,70,78,170,172,active,manual,cycling,virtual_activity,8.718,11.782
2025-09-30T16:56:37.000Z,8,2025-09-30T16:55:37.000Z,60.000,60.000,491.12,171,175,69,78,117,171,active,manual,cycling,virtual_activity,8.051,8.988
2025-09-30T17:01:37.000Z,9,2025-09-30T16:56:37.000Z,300.000,300.000,2443.34,160,169,69,80,120,151,active,manual,cycling,virtual_activity,8.117,8.782
2025-09-30T17:02:03.000Z,10,2025-09-30T17:01:37.000Z,26.000,26.000,166.61,,,,,,,,,,,,